time,Latitude,Longitude,altitude,PM-2.5,Temp.
2020-08-30 07:12:02,26.926041100000003,75.792331,433.03,157,32
2020-08-30 07:12:03,26.9261352,75.7923595,433.4,165,32
2020-08-30 07:12:04,26.926250899999996,75.79238409999999,429.91,29,32
2020-08-30 07:12:05,26.926343,75.7924015,429.77,30,32
2020-08-30 07:12:07,26.9265007,75.7924235,429.62,47,32
2020-08-30 07:12:08,26.9265481,75.7924056,429.49,21,32
2020-08-30 07:12:09,26.9265963,75.7923718,429.14,19,32
2020-08-30 07:12:10,26.926619800000005,75.79235890000001,428.78,16,32
2020-08-30 07:12:11,26.926643,75.7923838,428.77,60,32
2020-08-30 07:12:13,26.926691899999998,75.7925171,428.97,119,32
2020-08-30 07:12:14,26.9267148,75.79258420000001,429.15,78,32
2020-08-30 07:12:15,26.926749400000002,75.7926573,429.96,40,32
2020-08-30 07:12:16,26.9267783,75.7927469,429.73,26,32
2020-08-30 07:12:18,26.9268256,75.7928684,428.72,24,32
2020-08-30 07:12:19,26.9268415,75.79290209999999,428.37,23,32
2020-08-30 07:12:20,26.926872399999997,75.79293050000001,428.33,19,32
2020-08-30 07:12:21,26.926905600000005,75.7929501,428.26,12,32
2020-08-30 07:12:22,26.926958600000003,75.792964,427.9,13,32
2020-08-30 07:12:24,26.927105600000004,75.79298829999999,427.79,9,32
2020-08-30 07:12:25,26.927174199999996,75.79301290000001,428.09,10,32
2020-08-30 07:12:26,26.927254600000005,75.79303709999999,428.45,6,32
2020-08-30 07:12:27,26.927320899999998,75.79305190000001,428.61,8,32
2020-08-30 07:12:28,26.927416700000002,75.7930686,428.54,11,32
2020-08-30 07:12:30,26.9276212,75.7931033,429.1,8,32
2020-08-30 07:12:31,26.9277184,75.79311949999999,429.35,6,32
2020-08-30 07:12:32,26.9278332,75.7931442,429.53,10,32
2020-08-30 07:12:33,26.9279261,75.79316700000001,429.7,11,32
2020-08-30 07:12:34,26.928030199999995,75.7931882,429.74,8,32
2020-08-30 07:12:36,26.928243199999997,75.7932349,429.35,16,32
2020-08-30 07:12:37,26.928355,75.7932617,429.18,11,32
2020-08-30 07:12:38,26.928467600000005,75.7932907,433.07,11,32
2020-08-30 07:12:39,26.928584700000002,75.7933052,432.9,6,32
2020-08-30 07:12:41,26.928828000000003,75.7933053,432.41,10,32
2020-08-30 07:12:42,26.928960999999997,75.7933014,432.29,11,32
2020-08-30 07:12:43,26.929067200000002,75.79331040000001,432.46,6,32
2020-08-30 07:12:44,26.929167200000002,75.79333270000001,429.37,9,32
2020-08-30 07:12:45,26.929294199999998,75.7933594,429.49,8,32
2020-08-30 07:12:47,26.929526300000003,75.7933943,429.81,8,32
2020-08-30 07:12:48,26.9296577,75.79340440000001,429.89,12,32
2020-08-30 07:12:49,26.9297401,75.7934105,429.79,12,32
2020-08-30 07:12:50,26.929835200000003,75.79342740000001,430.91,11,32
2020-08-30 07:12:51,26.9299441,75.7934489,430.94,13,32
2020-08-30 07:12:53,26.9301136,75.7934737,430.29,14,32
2020-08-30 07:12:54,26.930166399999997,75.793482,429.81,15,32
2020-08-30 07:12:55,26.9302104,75.793488,430.85,14,32
2020-08-30 07:12:56,26.930250800000003,75.7934871,430.88,15,32
2020-08-30 07:12:57,26.930291600000004,75.7934755,430.92,14,32
2020-08-30 07:12:59,26.9303761,75.7934139,430.97,14,32
2020-08-30 07:13:00,26.930426500000003,75.7933668,430.89,11,32
2020-08-30 07:13:01,26.9304675,75.79332840000001,428.54,12,32
2020-08-30 07:13:02,26.930526899999997,75.7932892,428.21,15,32
2020-08-30 07:13:04,26.9306685,75.7932629,428.29,10,32
2020-08-30 07:13:05,26.9307338,75.79328249999999,428.55,14,32
2020-08-30 07:13:06,26.930794800000005,75.7933319,428.89,16,32
